SMILES,CLUSTER
N=C(N)NN=Cc1ccc(OCc2ccc3no[n+]([O-])c3c2)cc1,1.1.2
NC(=S)NN=Cc1ccc(OCc2ccc3no[n+]([O-])c3c2)cc1,3.0
NC(=O)NN=Cc1ccc(OCc2ccc3no[n+]([O-])c3c2)cc1,1.1.2
C=CCNC(=S)NN=Cc1ccc2no[n+]([O-])c2c1,3.0
NC(=S)NN=Cc1ccc2no[n+]([O-])c2c1,3.0
CC(C)CC1NC(C(=O)Nc2ccccc2)CCCCC(C=CS(=O)(=O)c2ccccc2)NC1=O,1.3
FC(F)(F)c1ccnc(NN=Cc2ccccc2)n1,1.1.1
Cc1ccccc1C=NNc1nccc(C(F)(F)F)n1,1.1.1
Cc1ccc(C=NNc2nccc(C(F)(F)F)n2)cc1,1.1.1
FC(F)(F)c1ccnc(NN=Cc2ccc(Cl)cc2)n1,1.1.3
COc1ccc(C=NNc2nccc(C(F)(F)F)n2)cc1,1.1.1
O=[N+]([O-])c1ccc(C=NNc2nccc(C(F)(F)F)n2)cc1,1.1.1
Cc1cc(C(F)(F)F)nc(NN=Cc2ccccc2C)n1,1.1.1
COc1ccccc1C=NNc1nc(C)cc(C(F)(F)F)n1,1.1.1
Cc1cc(C(F)(F)F)nc(NN=Cc2ccc(Cl)cc2)n1,1.1.3
Nc1ncccc1C(=O)OCC(=O)Nc1cc(Cl)ccc1Cl,1.1.4
COc1ccc(OC)c(CNC(=O)c2nnc(-c3ccccc3N)o2)c1,1.1.2
Nc1ccccc1-c1nnc(C(=O)Nc2cccc(N3CCCC3)c2)o1,1.2
Cn1ccc(NC(=O)c2nnc(-c3ccccc3N)o2)n1,1.1.2
Cc1cc(NC(=O)c2nnc(-c3ccccc3N)o2)n[nH]1,2.0
Nc1ccccc1-c1nnc(C(=O)NCCCN2CCCC2=O)o1,1.2
CCN1CCCC1CNC(=O)c1nnc(-c2ccccc2N)o1,1.2
Nc1ccccc1-c1nnc(C(=O)NCCN2CCOCC2)o1,1.1.2
Cc1cc2cc(NC(=O)c3nnc(-c4ccccc4N)o3)ccc2[nH]1,2.0
Nc1ccccc1-c1nnc(C(=O)NC2Cc3ccccc3C2)o1,1.1.2
Nc1ccccc1-c1nnc(C(=O)NC2CCCCCC2)o1,1.1.2
Nc1ccccc1-c1nnc(C(=O)NC2CCCCC2)o1,1.1.2
Nc1ccccc1C(=O)OCC(=O)Nc1cc(Cl)ccc1Cl,1.1.4
CCC(NC(=O)COC(=O)c1cccnc1N)c1ccc(Br)cc1,1.1.1
Nc1ncccc1C(=O)OCC(=O)NC1CCCCCC1,1.1.1
NC(=O)c1ccsc1NC(=O)COC(=O)c1cc(Br)ccc1N,1.1.1
Nc1ncccc1C(=O)OCC(=O)Nc1ccccc1OC(F)F,1.1.1
Nc1ncccc1C(=O)OCC(=O)Nc1ccc2c(c1)OCCO2,1.1.1
Cc1cccc(C(=O)OCC(=O)Nc2cc(Cl)ccc2Cl)c1,1.1.4
