SMILES,CLUSTER
O=C(CNC(=O)c1ccc(Cl)cc1)OC(C(=O)Nc1ccc(Cl)cc1C(F)(F)F)c1ccccc1,1.1.3
CC1SC(=NN=CCCSc2ccc(Cl)cc2)NC1=O,1.2
CC1SC(=NN=CCCSc2ccccc2)NC1=O,1.2
CC1SC(=NN=CCCSc2ccccc2)NC1=S,1.4
CC(C)CC(NC(c1ccc(-c2ccc(N3CCNCC3)cc2)cc1)C(F)(F)F)C(=O)NCC#N,3.0
CC(C)(F)CC(NC(c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC(C#N)Cc1ccccc1,1.1.1
CC(C)(F)CC(NC(c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NCC#N,1.1.1
CC(C)(F)CC(NC(c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC(C#N)CC(F)(F)F,1.1.1
CC(C)(F)CC(NC(c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC(C#N)CCc1ccccc1,1.1.1
CC(C)(F)CC(NC(c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC(C#N)Cc1ccncc1,1.1.2
CC(C)(F)CC(NC(c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC(C#N)Cc1ccc(C#N)cc1F,1.1.1
CC(C)(F)CC(NC(c1ccc(-c2ccc(C3(C(N)=O)CC3)cc2)cc1)C(F)(F)F)C(=O)NC(C#N)Cc1ccccc1,1.1.1
CC(C)(F)CC(NC(c1ccc(-c2ccc(C3(C(=O)N4CCOCC4)CC3)cc2)cc1)C(F)(F)F)C(=O)NC(C#N)Cc1ccccc1,3.0
CC(C)(F)CC(NC(c1ccc(-c2ccc(C(O)C(F)F)cc2)cc1)C(F)(F)F)C(=O)NC(C#N)Cc1ccccc1,1.1.1
CC(C)(F)CC(NC(c1ccc(-c2ccc(-c3ccncc3)cc2)cc1)C(F)(F)F)C(=O)NC(C#N)Cc1ccccc1,1.1.2
CC(C)(F)CC(NC(c1ccc(-c2cn[nH]c2)cc1)C(F)(F)F)C(=O)NC(C#N)Cc1ccccc1,1.1.1
CC(C)CC(NC(c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC(C#N)Cc1ccccc1,1.1.1
CS(=O)(=O)c1ccc(-c2ccc(C(NC(CC3CC3)C(=O)NC(C#N)Cc3ccccc3)C(F)(F)F)cc2)cc1,1.1.1
CS(=O)(=O)c1ccc(-c2ccc(C(NC(CC(Cl)Cl)C(=O)NC(C#N)Cc3ccccc3)C(F)(F)F)cc2)cc1,1.1.3
CS(=O)(=O)c1ccc(-c2ccc(C(NC(Cc3ccccc3)C(=O)NC(C#N)Cc3ccccc3)C(F)(F)F)cc2)cc1,1.1.1
CC(C)C(NC(c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC(C#N)Cc1ccccc1,1.1.1
CS(=O)(=O)c1ccc(-c2ccc(C(NC(C(=O)NC(C#N)Cc3ccccc3)C3CC3)C(F)(F)F)cc2)cc1,1.1.1
CC(C)(C)C(NC(c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC(C#N)Cc1ccccc1,1.1.1
CC(C)C(NC(c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC(C#N)Cc1ccc(C#N)cc1F,1.1.1
CC(C)C(NC(c1ccc(-c2ccc(C3(C(N)=O)CC3)cc2)cc1)C(F)(F)F)C(=O)NC(C#N)Cc1ccc(C#N)cc1F,1.1.1
CC(C)C(NC(c1ccc(-c2ccc(C(O)C(F)F)cc2)cc1)C(F)(F)F)C(=O)NC(C#N)Cc1ccc(C#N)cc1F,1.1.1
COc1ccc2cc(O)c(C(=O)NN=Cc3c(O)ccc4ccccc34)cc2c1,1.1.1
O=C(NN=Cc1ccc2c(c1)OCO2)c1nc(-c2ccc(Br)cc2)no1,2.0
COc1cc(C=NNC(=O)c2nc(-c3ccc(Br)cc3)no2)ccc1O,1.1.1
COc1cc(C=NNC(=O)c2nc(-c3ccc(Cl)cc3)no2)ccc1O,1.1.4
O=C(NC(=S)Nc1ncccc1OCc1ccccc1)c1cccn1S(=O)(=O)c1ccccc1,1.3
Cn1nc(C(F)(F)F)cc1-c1ccc(NC(=O)Nc2cccc(C(F)(F)F)c2)s1,1.1.1
CCOC(=O)c1ccc(NC(=S)NC(=O)c2ccc(Cl)c(Cl)c2)cc1,1.3
O=C(Nc1ccc(Cl)cc1)Nc1csc(-c2ccc(C(F)(F)F)cc2)n1,1.1.4
O=C(COc1ccccc1Cl)NCCc1nc2ccccc2[nH]1,2.0
O=C(COc1ccccc1Br)NCCc1nc2ccccc2[nH]1,2.0
O=C(COc1ccccc1I)NCCc1nc2ccccc2[nH]1,2.0
Cc1ccccc1OCC(=O)NCCc1nc2ccccc2[nH]1,2.0
O=C(COc1cccc(Br)c1)NCCc1nc2ccccc2[nH]1,2.0
O=C(COc1ccc(Br)cc1)NCCc1nc2ccccc2[nH]1,2.0
O=C(COc1ccc2ccccc2c1)NCCc1nc2ccccc2[nH]1,2.0
O=C(COc1ccc2ccccc2c1Br)NCCc1nc2ccccc2[nH]1,2.0
O=C(COc1ccc2ccccc2c1Br)NCCc1nc2cc(Cl)ccc2[nH]1,2.0
COc1ccc2[nH]c(CCNC(=O)COc3ccc4ccccc4c3Br)nc2c1,2.0
Cc1ccc2[nH]c(CCNC(=O)COc3ccc4ccccc4c3Br)nc2c1,2.0
CC1SC(NN=CCCCSc2ccccc2)=NC1=O,1.2
O=[N+]([O-])c1cccc(-c2csc(NN=Cc3ccccn3)n2)c1,1.1.2
CC(=NNc1nc(-c2ccccc2)cs1)c1ccccn1,1.1.2
CC(=NNc1nc(-c2ccc(C)cc2)cs1)c1ccccn1,1.1.2
CC(=NNc1nc(-c2ccc(F)cc2)cs1)c1ccccn1,1.1.2
COc1ccc(-c2csc(NN=C(C)c3ccccn3)n2)cc1,1.1.2
CC(=NNc1nc(-c2ccc(Cl)cc2Cl)cs1)c1ccccn1,1.1.5
CC(=NNc1nc(-c2ccc(Cl)c(Cl)c2)cs1)c1ccccn1,1.1.5
CC(=NNc1nc(-c2ccc3ccccc3c2)cs1)c1ccccn1,1.1.2
NC(=S)NN=C(COc1ccc(Br)cc1)c1ccc(-c2ccccc2)cc1,1.3
